post_id,date,text,sentiment_score,emotion,distress_score,risk_level
P02954,2025-03-26,Very fun and friends.,0.5241261376135526,Happiness,0.2729972134948595,Low Risk
P08292,2025-03-26,Feeling okay today.,0.5369597519144388,Happiness,0.12652713480426714,Low Risk
P05145,2025-03-26,Very movie and sunny.,0.38308662065879767,Surprise,0.23036430334745484,Low Risk
P01588,2025-03-26,I am stressed and dark lately.,-0.07042176858987953,Disgust,0.6904980880297764,Medium Risk
P04032,2025-03-26,Very happy and sunny.,0.9082262632775204,Neutral,0.01033946553602938,Low Risk
P02314,2025-03-26,Today was really stressed.,-0.012644994715109326,Disgust,0.5630618939725227,Medium Risk
P01337,2025-03-26,I am heavy and lonely lately.,0.074875108191793,Sadness,0.43559818434236164,Medium Risk
P00725,2025-03-26,Feeling dinner today.,0.45406943620889334,Neutral,0.07561580989101269,Low Risk
P09272,2025-03-26,Today was really sad.,0.1712511444258037,Anger,0.5782034490916681,Medium Risk
P04085,2025-03-26,I am stressed and anxious lately.,-0.2319230922549807,Anger,0.6765561021357729,Medium Risk
P02322,2025-03-26,Feeling fun today.,0.2394189228662172,Happiness,0.19588161274314203,Low Risk
P09726,2025-03-26,Very good and dinner.,0.4666300907859442,Surprise,0.17376142884761353,Low Risk
P03019,2025-03-26,Today was really lonely.,-0.028957522999116525,Anger,0.42574323151283167,Medium Risk
P04148,2025-03-26,Today was really anxious.,-0.09971249710042085,Sadness,0.6807399494587874,Medium Risk
P02677,2025-03-26,Very sunny and working.,0.8423730408868535,Surprise,0.09341672077054733,Low Risk
P01176,2025-03-26,Very friends and movie.,0.25971074486354306,Neutral,0.1864726364510228,Low Risk
P05289,2025-03-26,Feeling fun today.,0.9570535564909259,Happiness,0.16352456495692613,Low Risk
P04471,2025-03-26,Very working and movie.,0.7676224508612783,Surprise,0.37846948191853813,Low Risk
P04506,2025-03-26,Feeling dinner today.,0.5424382335536597,Surprise,0.2582135963520595,Low Risk
P00923,2025-03-26,Today was really tired.,-0.03682099812010048,Sadness,0.5119723469137701,Medium Risk
P00347,2025-03-26,Today was really dark.,-0.4772316743561237,Disgust,0.6902533790841332,Medium Risk
P09542,2025-03-26,Feeling okay today.,0.40437780012652924,Neutral,0.3627330419428394,Low Risk
P04567,2025-03-26,Very dinner and fun.,0.5635228470558911,Happiness,0.12024822394225683,Low Risk
P00907,2025-03-26,Feeling okay today.,0.2914286159983836,Surprise,0.3582699110475115,Low Risk
P08086,2025-03-26,Feeling friends today.,0.9455632386828126,Happiness,0.35069772051826803,Low Risk
P02483,2025-03-26,Very okay and movie.,0.4855199097398039,Neutral,0.15748766786121504,Low Risk
P04721,2025-03-26,Very movie and okay.,0.2831130835314512,Neutral,0.037164664531881324,Low Risk
P05328,2025-03-26,Very happy and good.,0.8223139806665234,Surprise,0.0079194920472629,Low Risk
P03419,2025-03-26,Very friends and working.,0.3678612664724491,Surprise,0.2807814135881303,Low Risk
P07044,2025-03-27,Everything is worthless and I feel hurt myself.,-0.7417196004546649,Fear,0.8630681769083409,High Risk
P01179,2025-03-27,"I can't take this end it all anymore, it's no way out and I want to pain.",-0.6167363418891865,Fear,0.7909052520946089,High Risk
P01908,2025-03-27,Feeling friends today.,0.966213326540978,Surprise,0.09356912831175396,Low Risk
P01915,2025-03-27,Today was really dark.,-0.24924667112984905,Disgust,0.544856429494884,Medium Risk
P01178,2025-03-27,Very movie and okay.,0.6237711728866941,Happiness,0.1263092604997984,Low Risk
P07148,2025-03-27,I am feeling so suffering. I just want to suffering.,-0.8813618608081237,Sadness,0.871232505389891,High Risk
P01665,2025-03-27,"I can't take this hopeless anymore, it's worthless and I want to pain.",-0.7003207064320986,Fear,0.703984361037574,High Risk
P02815,2025-03-27,Very happy and movie.,0.5944280972321638,Surprise,0.006225018503486402,Low Risk
P04358,2025-03-27,Today was really lonely.,-0.08934989128805593,Anger,0.659328288556631,Medium Risk
P09577,2025-03-27,Everything is pointless and I feel worthless.,-0.6601823230295832,Sadness,0.9229491016283439,High Risk
P09664,2025-03-27,Feeling friends today.,0.2614431817325624,Surprise,0.2945504270857192,Low Risk
P05414,2025-03-27,Feeling dinner today.,0.655652734062001,Surprise,0.09692227346656855,Low Risk
P03698,2025-03-27,Feeling happy today.,0.45052891428974323,Surprise,0.2067202378762496,Low Risk
P02632,2025-03-27,Very movie and friends.,0.9406308395956546,Happiness,0.20486798237355486,Low Risk
P07649,2025-03-27,I am feeling so pointless. I just want to pointless.,-0.7942786166597946,Sadness,0.8917944756635898,High Risk
P09715,2025-03-27,Very sunny and movie.,0.7893863566855945,Surprise,0.10009212938113006,Low Risk
P07828,2025-03-27,Feeling movie today.,0.7419428855146621,Neutral,0.32110611501452163,Low Risk
P09167,2025-03-27,Feeling working today.,0.642153963062992,Happiness,0.023228518286744215,Low Risk
P05442,2025-03-27,Today was really lonely.,-0.16854398858125486,Fear,0.5718248652614504,Medium Risk
P05500,2025-03-27,"I can't take this suffering anymore, it's no way out and I want to hurt myself.",-0.7568956557400787,Sadness,0.7714557116798686,High Risk
P03752,2025-03-27,Very good and fun.,0.7292516545387244,Happiness,0.1781734701144121,Low Risk
P09688,2025-03-27,I am struggling and heavy lately.,-0.24714048714089182,Sadness,0.6920062338378968,Medium Risk
P05112,2025-03-27,Feeling friends today.,0.24430330731836636,Neutral,0.12289690029982965,Low Risk
P03461,2025-03-27,I am heavy and anxious lately.,-0.09632867756855923,Fear,0.6994920791145964,Medium Risk
P09205,2025-03-27,Today was really overwhelmed.,-0.41739587347024587,Disgust,0.5041869806257494,Medium Risk
