post_id,date,text,sentiment_score,emotion,distress_score,risk_level,clean_text
P02954,2025-03-26,Very fun and friends.,0.5241261376135526,Happiness,0.2729972134948595,Low Risk,very fun and friends
P08292,2025-03-26,Feeling okay today.,0.5369597519144388,Happiness,0.1265271348042671,Low Risk,feeling okay today
P05145,2025-03-26,Very movie and sunny.,0.3830866206587976,Surprise,0.2303643033474548,Low Risk,very movie and sunny
P01588,2025-03-26,I am stressed and dark lately.,-0.0704217685898795,Disgust,0.6904980880297764,Medium Risk,i am stressed and dark lately
P04032,2025-03-26,Very happy and sunny.,0.9082262632775204,Neutral,0.0103394655360293,Low Risk,very happy and sunny
P02314,2025-03-26,Today was really stressed.,-0.0126449947151093,Disgust,0.5630618939725227,Medium Risk,today was really stressed
P01337,2025-03-26,I am heavy and lonely lately.,0.074875108191793,Sadness,0.4355981843423616,Medium Risk,i am heavy and lonely lately
P00725,2025-03-26,Feeling dinner today.,0.4540694362088933,Neutral,0.0756158098910126,Low Risk,feeling dinner today
P09272,2025-03-26,Today was really sad.,0.1712511444258037,Anger,0.5782034490916681,Medium Risk,today was really sad
P04085,2025-03-26,I am stressed and anxious lately.,-0.2319230922549807,Anger,0.6765561021357729,Medium Risk,i am stressed and anxious lately
P02322,2025-03-26,Feeling fun today.,0.2394189228662172,Happiness,0.195881612743142,Low Risk,feeling fun today
P09726,2025-03-26,Very good and dinner.,0.4666300907859442,Surprise,0.1737614288476135,Low Risk,very good and dinner
P03019,2025-03-26,Today was really lonely.,-0.0289575229991165,Anger,0.4257432315128316,Medium Risk,today was really lonely
P04148,2025-03-26,Today was really anxious.,-0.0997124971004208,Sadness,0.6807399494587874,Medium Risk,today was really anxious
P02677,2025-03-26,Very sunny and working.,0.8423730408868535,Surprise,0.0934167207705473,Low Risk,very sunny and working
P01176,2025-03-26,Very friends and movie.,0.259710744863543,Neutral,0.1864726364510228,Low Risk,very friends and movie
P04471,2025-03-26,Very working and movie.,0.7676224508612783,Surprise,0.3784694819185381,Low Risk,very working and movie
P00923,2025-03-26,Today was really tired.,-0.0368209981201004,Sadness,0.5119723469137701,Medium Risk,today was really tired
P00347,2025-03-26,Today was really dark.,-0.4772316743561237,Disgust,0.6902533790841332,Medium Risk,today was really dark
P04567,2025-03-26,Very dinner and fun.,0.5635228470558911,Happiness,0.1202482239422568,Low Risk,very dinner and fun
P08086,2025-03-26,Feeling friends today.,0.9455632386828126,Happiness,0.350697720518268,Low Risk,feeling friends today
P02483,2025-03-26,Very okay and movie.,0.4855199097398039,Neutral,0.157487667861215,Low Risk,very okay and movie
P04721,2025-03-26,Very movie and okay.,0.2831130835314512,Neutral,0.0371646645318813,Low Risk,very movie and okay
P05328,2025-03-26,Very happy and good.,0.8223139806665234,Surprise,0.0079194920472629,Low Risk,very happy and good
P03419,2025-03-26,Very friends and working.,0.3678612664724491,Surprise,0.2807814135881303,Low Risk,very friends and working
P07044,2025-03-27,Everything is worthless and I feel hurt myself.,-0.7417196004546649,Fear,0.8630681769083409,High Risk,everything is worthless and i feel hurt myself
P01179,2025-03-27,"I can't take this end it all anymore, it's no way out and I want to pain.",-0.6167363418891865,Fear,0.7909052520946089,High Risk,i cant take this end it all anymore its no way out and i want to pain
